Logid,IdUsuario,FechaHoraAcceso,TipoAcceso,IdSensor
452984,358,2025-07-01 18:01:07,5,1
452985,335,2025-07-01 18:02:44,5,1
452986,583,2025-07-01 18:02:52,5,1
452987,42,2025-07-01 18:03:36,5,1
452988,801,2025-07-01 18:06:06,5,1
452989,469,2025-07-01 18:06:33,5,1
452990,439,2025-07-01 18:10:45,5,1
452991,584,2025-07-01 18:14:37,5,1
452992,660,2025-07-01 18:16:14,5,1
452993,569,2025-07-01 18:17:21,5,1
452994,246,2025-07-01 18:42:00,5,1
452995,774,2025-07-01 18:45:11,5,1
452996,492,2025-07-01 18:48:40,5,1
452997,548,2025-07-01 18:49:16,5,1
452998,348,2025-07-01 18:50:45,5,1
452999,506,2025-07-01 18:53:25,5,1
453000,526,2025-07-01 18:56:52,5,1
453001,298,2025-07-01 19:07:12,5,1
453002,460,2025-07-01 19:07:24,5,1
453003,575,2025-07-01 19:07:31,5,1
453004,393,2025-07-01 19:14:41,5,1
453005,797,2025-07-01 19:33:36,5,1
453006,430,2025-07-01 19:33:37,5,1
453007,830,2025-07-01 19:34:15,5,1
453008,625,2025-07-01 19:34:22,5,1
453009,625,2025-07-01 19:34:56,5,1
453010,663,2025-07-01 19:46:44,5,1
453011,616,2025-07-01 20:04:40,5,1
453012,803,2025-07-01 20:31:47,5,1
453013,668,2025-07-02 04:57:23,0,1
453014,105,2025-07-02 05:00:21,0,1
453015,548,2025-07-02 05:14:52,0,1
453016,145,2025-07-02 05:34:54,0,1
453017,320,2025-07-02 05:35:01,0,1
453018,492,2025-07-02 05:43:14,0,1
453019,791,2025-07-02 05:43:34,0,1
453020,653,2025-07-02 05:52:57,0,1
453021,802,2025-07-02 06:01:30,0,1
453022,834,2025-07-02 06:01:38,0,1
453023,458,2025-07-02 06:01:45,0,1
453024,526,2025-07-02 06:03:23,0,1
453025,12,2025-07-02 06:04:51,0,1
453026,307,2025-07-02 06:05:07,0,1
453027,387,2025-07-02 06:05:30,0,1
453028,42,2025-07-02 06:05:46,0,1
453029,507,2025-07-02 06:07:42,0,1
453030,660,2025-07-02 06:08:02,0,1
453031,319,2025-07-02 06:20:45,0,1
453032,800,2025-07-02 06:27:55,0,1
453033,549,2025-07-02 06:31:53,0,1
453034,831,2025-07-02 06:36:05,0,1
453035,444,2025-07-02 06:37:37,0,1
453036,266,2025-07-02 06:37:41,0,1
453037,665,2025-07-02 06:38:14,0,1
453038,666,2025-07-02 06:40:04,0,1
453039,417,2025-07-02 06:40:12,0,1
453040,166,2025-07-02 06:40:20,0,1
453041,360,2025-07-02 06:41:19,0,1
453042,44,2025-07-02 06:42:48,0,1
453043,771,2025-07-02 06:43:21,0,1
453044,554,2025-07-02 06:43:48,0,1
453045,231,2025-07-02 06:43:55,0,1
453046,552,2025-07-02 06:44:02,0,1
453047,393,2025-07-02 06:46:48,0,1
453048,551,2025-07-02 06:49:16,0,1
453049,830,2025-07-02 06:51:09,0,1
453050,795,2025-07-02 06:52:26,0,1
453051,795,2025-07-02 06:52:31,0,1
453052,583,2025-07-02 06:52:40,0,1
453053,804,2025-07-02 06:53:17,0,1
453054,773,2025-07-02 06:54:30,0,1
453055,796,2025-07-02 06:54:51,0,1
453056,541,2025-07-02 06:55:10,0,1
453057,651,2025-07-02 06:56:40,0,1
453058,627,2025-07-02 06:57:19,0,1
453059,553,2025-07-02 06:57:33,0,1
453060,662,2025-07-02 06:57:40,0,1
453061,241,2025-07-02 06:57:42,0,1
453062,43,2025-07-02 06:57:52,0,1
453063,650,2025-07-02 06:58:06,0,1
453064,840,2025-07-02 06:58:13,0,1
453065,523,2025-07-02 06:58:50,0,1
453066,574,2025-07-02 06:59:02,0,1
453067,817,2025-07-02 06:59:12,0,1
453068,637,2025-07-02 06:59:30,0,1
453069,820,2025-07-02 06:59:36,0,1
453070,820,2025-07-02 06:59:38,0,1
453071,667,2025-07-02 06:59:44,0,1
453072,345,2025-07-02 06:59:52,0,1
453073,404,2025-07-02 07:00:13,0,1
453074,659,2025-07-02 07:00:18,0,1
453075,430,2025-07-02 07:00:30,0,1
453076,792,2025-07-02 07:01:07,0,1
453077,160,2025-07-02 07:01:14,0,1
453078,799,2025-07-02 07:01:19,0,1
453079,343,2025-07-02 07:01:53,0,1
453080,620,2025-07-02 07:02:25,0,1
453081,348,2025-07-02 07:02:31,0,1
453082,575,2025-07-02 07:02:38,0,1
453083,550,2025-07-02 07:02:48,0,1
453084,519,2025-07-02 07:03:16,0,1
453085,809,2025-07-02 07:04:04,0,1
453086,770,2025-07-02 07:04:08,0,1
453087,206,2025-07-02 07:04:16,0,1
453088,206,2025-07-02 07:04:18,0,1
453089,770,2025-07-02 07:04:25,0,1
453090,351,2025-07-02 07:05:40,0,1
453091,460,2025-07-02 07:07:49,0,1
453092,632,2025-07-02 07:08:09,0,1
453093,626,2025-07-02 07:08:36,0,1
453094,55,2025-07-02 07:09:25,0,1
453095,823,2025-07-02 07:11:27,0,1
453096,823,2025-07-02 07:11:28,0,1
453097,527,2025-07-02 07:12:03,0,1
453098,774,2025-07-02 07:13:07,0,1
453099,654,2025-07-02 07:15:43,0,1
453100,529,2025-07-02 07:15:49,0,1
453101,298,2025-07-02 07:17:07,0,1
453102,546,2025-07-02 07:02:17,0,2
453103,193,2025-07-02 07:02:24,0,2
453104,790,2025-07-02 07:02:28,0,2
453105,813,2025-07-02 07:02:33,0,2
